Workout.1,Workout.2,Workout.3,Workout.4,Workout.5,Workout.6,Workout.7,Workout.8,,
151,,,151,,,183,183,,
150,,,151,,,183,183,,
151,,,149,,,183,183,,
154,,,145,,,183,183,,
155,,,144,,,182,183,,
156,,,144,,,182,184,,
157,,,144,,,182,184,,
159,,,146,,,181,184,,
160,,,147,,,180,184,,
161,,,149,,,180,185,,
162,,,150,,,180,185,,
162,,,151,,,180,184,,
164,,,152,,,180,184,,
166,,,150,,,180,184,,
166,,,149,,,180,183,,
166,,,148,,,180,183,,
167,,,149,,,180,184,,
168,,,148,,,180,185,,
170,,,148,,,179,186,,
172,,,148,,,178,187,,
173,,,148,,,178,188,,
173,,,149,,,177,188,,
173,,,149,,,177,189,,
173,,,148,,,178,189,,
173,,,147,,,178,188,,
173,,,148,,,178,188,,
173,,,149,,,178,188,,
173,,,150,,,177,188,,
174,,,149,,,176,188,,
175,,,149,,,176,187,,
177,,,149,,,176,186,,
179,,,149,,,175,186,,
180,,,149,,,175,185,,
181,,,150,,,175,185,,
181,,,150,,,175,185,,
181,,,150,,,177,185,,
180,,,151,,,178,185,,
179,,,150,,,180,184,,
179,,,150,,,180,184,,
180,,,149,,,180,184,,
180,,,147,,,180,184,,
179,,,149,,,180,183,,
177,,,151,,,180,182,,
175,,,150,,,181,182,,
174,,,148,,,181,182,,
173,,,144,,,181,181,,
172,,,141,,,181,181,,
172,,,138,,,181,180,,
170,,,135,,,181,181,,
169,,,133,,,181,180,,
169,,,130,,,181,180,,
169,,,128,,,180,180,,
169,,,127,,,180,180,,
169,,,125,,,180,180,,
167,,,124,,,179,180,,
165,,,125,,,179,181,,
164,,,128,,,180,181,,
163,,,131,,,180,181,,
163,,,132,,,180,180,,
162,,,133,,,180,180,,
160,,,133,,,180,180,,
158,,,134,,,180,179,,
155,,,134,,,179,179,,
155,,,134,,,179,180,,
156,,,135,,,179,180,,
156,,,138,,,179,179,,
155,,,140,,,179,179,,
155,,,142,,,179,179,,
155,,,143,,,179,179,,
155,,,146,,,179,179,,
154,,,147,,,179,179,,
153,,,147,,,180,179,,
152,,,146,,,180,179,,
150,,,144,,,180,179,,
150,,,144,,,181,179,,
150,,,144,,,181,179,,
152,,,144,,,181,180,,
158,,,145,,,180,180,,
157,,,145,,,181,180,,
156,,,146,,,181,179,,
157,,,146,,,181,179,,
158,,,148,,,182,179,,
157,,,147,,,182,179,,
157,,,146,,,181,179,,
157,,,146,,,181,179,,
156,,,148,,,182,178,,
154,,,150,,,182,177,,
152,,,152,,,181,177,,
152,,,153,,,181,176,,
152,,,155,,,181,175,,
153,,,155,,,181,175,,
152,,,158,,,181,175,,
151,,,159,,,180,174,,
153,,,158,,,179,174,,
154,,,158,,,179,174,,
154,,,159,,,179,174,,
153,,,158,,,179,174,,
153,,,156,,,179,174,,
154,,,155,,,179,174,,
155,,,153,,,179,174,,
156,,,151,,,178,175,,
156,,,149,,,178,175,,
156,,,148,,,178,176,,
157,,,145,,,178,177,,
161,,,144,,,178,177,,
161,,,143,,,178,179,,
160,,,142,,,178,180,,
160,,,142,,,178,180,,
161,,,142,,,177,180,,
162,,,142,,,178,180,,
163,,,141,,,178,180,,
164,,,140,,,179,179,,
163,,,141,,,180,179,,
162,,,142,,,180,178,,
162,,,142,,,180,179,,
162,,,141,,,181,178,,
161,,,140,,,182,178,,
161,,,139,,,182,178,,
161,,,138,,,181,178,,
159,,,138,,,180,178,,
157,,,138,,,180,177,,
158,,,137,,,179,177,,
158,,,138,,,179,177,,
156,,,141,,,178,177,,
156,,,142,,,177,177,,
157,,,142,,,177,177,,
158,,,141,,,177,177,,
158,,,141,,,178,177,,
158,,,141,,,178,178,,
158,,,141,,,178,178,,
159,,,140,,,179,178,,
160,,,139,,,179,178,,
161,,,138,,,179,177,,
162,,,136,,,179,176,,
162,,,136,,,179,175,,
163,,,136,,,179,175,,
164,,,137,,,180,175,,
166,,,139,,,180,176,,
166,,,140,,,180,176,,
166,,,143,,,180,177,,
166,,,144,,,181,177,,
168,,,147,,,181,177,,
168,,,149,,,181,177,,
166,,,148,,,181,177,,
164,,,147,,,180,177,,
163,,,147,,,180,178,,
162,,,146,,,180,178,,
161,,,147,,,181,178,,
161,,,148,,,182,178,,
161,,,148,,,182,177,,
161,,,148,,,182,176,,
162,,,148,,,182,175,,
164,,,148,,,183,174,,
166,,,148,,,182,174,,
168,,,149,,,182,174,,
167,,,150,,,181,175,,
164,,,151,,,181,176,,
163,,,151,,,180,177,,
165,,,151,,,180,178,,
167,,,151,,,179,178,,
165,,,150,,,180,178,,
163,,,150,,,180,179,,
162,,,150,,,180,179,,
161,,,149,,,181,179,,
162,,,148,,,181,180,,
161,,,148,,,181,180,,
160,,,149,,,181,180,,
159,,,149,,,180,180,,
159,,,148,,,180,180,,
159,,,149,,,179,180,,
160,,,149,,,180,180,,
160,,,150,,,180,179,,
159,,,150,,,181,179,,
158,,,151,,,180,179,,
158,,,151,,,180,179,,
159,,,152,,,181,179,,
161,,,151,,,182,178,,
164,,,151,,,183,178,,
165,,,151,,,183,177,,
166,,,151,,,184,177,,
166,,,151,,,183,177,,
166,,,150,,,184,178,,
167,,,150,,,185,179,,
167,,,149,,,185,179,,
